"Run time, Error, Target angle"
"131, -10.82813, 22.48132"
"261, -5.610937, 15.74819"
"389, 4.085156, 21.00961"
"517, 6.644531, 29.09819"
"643, 0.4921875, 29.46602"
"766, -12.89531, 13.46697"
"999, -15.11016, -4.728244"
"1227, -14.22422, -21.78059"
"1470, -3.494531, -25.76057"
"1597, 0.5414063, -24.94877"
"1725, 10.43438, -12.05144"
"1853, 14.9625, 6.092096"
"2089, 10.63125, 18.76731"
"2330, 6.103125, 25.99749"
"2458, 5.90625, 33.07228"
"2596, -3.15, 28.98135"
"2724, -12.94453, 13.0667"
"2852, -14.91328, -4.923258"
"2972, -14.71641, -22.5811"
"3090, -10.58203, -35.1153"
"3219, -0.4429688, -35.26438"
"3355, 6.3, -27.4508"
"3488, 6.890625, -19.14678"
"3627, 3.9375, -14.52102"
"3764, 6.496875, -6.642507"
"3889, 13.43672, 9.749473"
"4005, 15.15937, 28.02671"
"4253, -3.494531, 23.47156"
"4380, 1.279687, 25.16389"
"4512, 3.002344, 28.83666"
"4640, -3.789844, 24.04315"
"4763, -12.6, 8.571843"
"4888, -14.86406, -9.372006"
"5007, -13.28906, -25.26399"
"5131, -8.760937, -35.60223"
"5257, 0.196875, -35.01865"
"5394, 6.496875, -26.98603"
"5525, 8.268749, -16.98623"
"5659, 5.561719, -10.40255"
"5792, 7.776563, -0.9972105"
"5911, 11.96016, 13.52434"
"6032, 13.63359, 29.95999"
"6154, 6.595312, 37.60612"
"6290, -3.297656, 33.29298"
"6421, -7.628906, 23.96206"
"6548, -6.152344, 16.62389"
"6684, -4.675781, 11.06633"
"6809, -7.727344, 1.681109"
"6929, -12.25547, -13.20938"
"7046, -12.35391, -28.04972"
"7168, -7.284375, -36.59837"
"7294, 0.8367188, -35.27974"
"7422, 7.136719, -26.46373"
"7559, 9.105469, -15.45598"
"7697, 7.432032, -6.590446"
"7828, 9.400782, 4.758303"
"7947, 12.35391, 19.70354"
"8069, 10.53281, 32.28024"
"8201, 3.592969, 36.3385"
"8329, -3.15, 32.29761"
"8461, -6.496875, 24.36599"
"8587, -7.432032, 15.40461"
"8718, -6.546094, 7.578714"
"8844, -8.170313, -2.284538"
"8966, -11.96016, -16.78614"
"9088, -10.87734, -29.80644"
"9213, -5.069531, -35.66953"
"9338, 1.279687, -33.88382"
"9466, 6.989062, -25.27234"
"9599, 10.38516, -12.67606"
"9731, 9.450001, -1.361658"
"9853, 9.400782, 9.915792"
"9971, 11.66484, 24.00255"
"10095, 8.957813, 34.65472"
"10230, -1.624219, 32.32749"
"10365, -5.020312, 26.16329"
"10494, -4.035937, 21.34777"
"10624, -3.100781, 17.66232"
"10756, -8.022655, 7.860065"
"10874, -12.64922, -7.513715"
"10992, -12.50156, -22.52203"
"11111, -9.302343, -33.55925"
"11240, -1.082813, -34.55348"
"11365, 4.626562, -28.76687"
"11493, 6.152344, -21.31472"
"11632, 5.266406, -15.02142"
"11766, 10.18828, -2.622382"
"11888, 13.58438, 13.82013"
"12004, 13.33828, 29.82521"
"12127, 5.758594, 36.44608"
"12254, -1.476563, 34.39118"
"12382, -6.447657, 26.45313"
"12512, -6.546094, 18.58266"
"12643, -3.297656, 14.74149"
"12770, -5.463282, 8.112702"
"12892, -12.69844, -7.408249"
"13012, -13.23984, -23.33511"
"13130, -10.72969, -36.11433"
"13254, -1.18125, -37.16141"
"13382, 6.890625, -28.57412"
"13513, 8.121094, -18.76674"
"13649, 5.660156, -12.0566"
"13781, 9.450001, -0.5858679"
"13905, 13.09219, 15.27065"
"14027, 13.48594, 31.47785"
"14151, 4.774219, 36.87827"
"14280, -2.854688, 33.15285"
"14407, -7.038281, 24.53424"
"14534, -5.463282, 18.02612"
"14664, -3.346875, 14.08933"
"14795, -6.053906, 6.731112"
"14913, -13.28906, -9.506568"
"15030, -14.47031, -26.93673"
"15150, -9.84375, -38.57254"
"15279, -0.04921875, -38.26376"
"15416, 7.776563, -28.63974"
"15546, 9.991405, -16.55293"
"15683, 7.825781, -7.230881"
"15815, 8.957813, 3.55502"
"15938, 12.6, 18.81739"
"16062, 10.33594, 31.14389"
"16191, 3.9375, 35.6291"
"16329, -4.823438, 29.52778"
"16463, -6.201563, 22.02027"
"16591, -4.626562, 16.52287"
"16717, -5.463282, 9.93915"
"16840, -9.794531, -1.981344"
"16964, -12.15703, -16.67014"
"17084, -10.92656, -29.74017"
"17211, -5.069531, -35.60576"
"17337, 1.427344, -33.63559"
"17475, 6.890625, -25.16566"
"17608, 9.499218, -13.6627"
"17743, 9.646875, -2.075429"
"17874, 10.53281, 10.59599"
"17999, 13.14141, 26.46646"
"18124, 9.253124, 37.43002"
"18260, -1.96875, 34.67"
"18391, -7.628906, 25.28889"
"18525, -6.69375, 17.27677"
"18663, -3.15, 13.61845"
"18790, -4.774219, 7.835987"
"18915, -12.40313, -7.335688"
"19031, -13.83047, -24.00831"
"19154, -11.61563, -37.8665"
"19289, -1.230469, -38.97791"
"19420, 7.284375, -29.90936"
"19549, 7.284375, -21.14909"
"19684, 0.1476563, -21.22046"
"19813, -5.020312, -27.44944"
"19947, -5.020312, -33.4852"
"20083, -0.0984375, -33.43182"
