Run time, Error, Target angle
122, -15.06094, 21.53456
255, -14.71641, 3.874876
387, -6.69375, -3.871015
508, 11.12344, 10.18561
744, 8.416407, 20.25306
868, 8.957813, 31.02101
998, 1.427344, 32.46196
1136, -6.989062, 23.76986
1268, -6.3, 16.21712
1393, 0.2460938, 16.7572
1518, 5.266406, 23.28187
1649, 5.660156, 30.09997
1771, 1.525781, 31.77342
1895, -2.116406, 29.08623
2026, -2.608594, 25.92976
2161, -1.476563, 24.19603
2292, 1.575, 26.19801
2417, 3.051562, 29.92212
2547, 2.608594, 33.04005
2672, 0.3445313, 33.36696
2796, -2.903906, 29.75397
2928, -2.953125, 26.20116
3053, -0.7382813, 25.39797
3181, 1.673438, 27.50033
3308, 2.264062, 30.24444
3436, 1.328906, 31.80633
3565, -1.476563, 29.93013
3695, -3.346875, 25.84008
3827, -3.346875, 21.81963
3959, 0.2460938, 22.24306
4085, 2.214844, 24.98197
4217, 1.476563, 26.73208
4352, -0.590625, 25.94982
4479, -2.805469, 22.49686
4609, -3.642188, 18.09093
4739, -2.75625, 14.81372
4862, 1.230469, 16.44317
4990, 1.673438, 18.47654
5118, 0.0984375, 18.53822
5250, -2.510156, 15.43031
5382, -3.986719, 10.58764
5506, -3.54375, 6.348388
5632, -0.2460938, 6.176948
5760, 2.460938, 9.237669
5882, 1.082813, 10.49096
6009, -1.870313, 8.135288
6135, -3.494531, 3.874109
6259, -4.921875, -2.09031
6375, -1.132031, -3.299613
6496, 2.313281, -0.3797741
6611, 1.427344, 1.306541
6732, -1.082813, -0.09179378
6853, -4.183594, -5.238438
6975, -5.217188, -11.5462
7094, -0.3445313, -11.76919
7218, 2.510156, -8.636442
7340, 1.328906, -7.079529
7463, -2.313281, -9.99575
7586, -3.691406, -14.48753
7711, -4.577344, -20.0171
7837, -0.2953125, -20.21383
7969, 3.199219, -16.24
8095, 2.264062, -13.54982
8218, -1.673438, -15.70875
8339, -4.774219, -21.56735
8463, -4.823438, -27.36522
8592, -0.1476563, -27.37228
8719, 3.051562, -23.58184
8847, 2.411719, -20.70378
8974, -0.8859375, -21.89188
9109, -3.15, -25.75683
9234, -3.592969, -30.08998
9360, -0.8367188, -30.99168
9489, 2.116406, -28.3374
9614, 1.870313, -26.0954
9744, 1.328906, -24.52047
9870, -1.328906, -26.21554
10003, -1.96875, -28.6064
10130, -1.870313, -30.8488
10257, 0.6890625, -29.92699
10381, 2.510156, -26.83892
10507, 2.75625, -23.51793
10633, 0.04921875, -23.55911
10760, -1.328906, -25.21076
10888, -0.8859375, -26.26093
11016, -0.3445313, -26.65355
11147, 0.8367188, -25.60579
11276, 1.821094, -23.382
11405, 2.559375, -20.28156
11541, 1.870313, -18.05935
11675, 1.082813, -16.78895
11802, 0.7875, -15.8566
11932, 0.9351563, -14.72976
12060, 1.525781, -12.87699
12188, 1.870313, -10.61866
12310, 0.984375, -9.470903
12434, 0.04921875, -9.448735
12558, 0.3445313, -9.026264
12685, 1.821094, -6.785302
12804, 3.199219, -2.888476
12922, 2.313281, -0.1438096
13046, 0.2460938, 0.07128957
13164, 0.1476563, 0.2395018
13285, 1.624219, 2.245703
13406, 2.805469, 5.661212
13530, 1.279687, 7.141975
13651, -0.2460938, 6.784119
13773, 0.2953125, 7.155495
13894, 1.722656, 9.279073
14021, 3.100781, 13.05439
14147, 2.854688, 16.47411
14278, -0.4921875, 15.76095
14407, -2.411719, 12.79025
14532, -1.230469, 11.35353
14661, 2.313281, 14.26212
14786, 4.33125, 19.5422
14913, 3.839063, 24.13551
15045, 0.8367188, 25.03231
15177, -4.380468, 19.58188
15311, -3.642188, 15.22629
15447, 0.8859375, 16.44862
15575, 5.807813, 23.60693
15704, 5.758594, 30.52643
15839, -1.919531, 27.95496
15968, -3.15, 24.11446
16095, -2.116406, 21.6095
16227, 1.771875, 23.87663
16355, 4.134375, 28.93372
16482, 4.035937, 33.77883
16618, -0.9351563, 32.4841
16754, -3.691406, 27.94766
16881, -3.54375, 23.69435
17011, 1.821094, 26.07692
17141, 4.282031, 31.31592
17265, 3.592969, 35.60774
17393, -2.017969, 32.97713
17520, -5.758594, 25.91591
17653, -4.971094, 19.97029
17782, 2.116406, 22.76613
17909, 3.199219, 26.66041
18039, 3.051562, 30.32012
18166, 0.6398437, 30.99911
18291, -3.051562, 27.1931
18422, -3.691406, 22.73191
18557, -2.460938, 19.82007
18691, -0.3445313, 19.48349
18821, 0.4921875, 20.10887
18947, 0.4429688, 20.64067
19077, -0.5414063, 19.95557
19204, -1.575, 18.02549
19333, -2.657813, 14.79394
19462, -1.525781, 13.00188
19589, -1.18125, 11.59944
19713, -2.264062, 8.842444
19837, -1.132031, 7.52479
19966, 1.525781, 9.454408
20094, 0.7382813, 10.31699
20217, -0.7875, 9.312766
20343, -2.460938, 6.293165
20469, -3.9375, 1.509972
