Run time, Error, Target angle
183, -14.81484, 23.02523
304, -14.27344, 20.17055
490, -12.45234, 17.72702
615, -11.27109, 15.52004
812, -6.546094, 14.32735
938, -4.282031, 13.56306
1129, -2.214844, 13.17545
1263, -1.082813, 13.00186
1451, 1.575, 13.38678
1584, 2.510156, 13.92593
1776, 4.282031, 14.82812
1906, 5.167969, 15.89621
2101, 6.103125, 17.14123
2232, 6.496875, 18.45628
2426, 6.742969, 19.81155
2556, 6.989062, 21.21867
2755, 6.103125, 22.41825
2888, 4.921875, 23.35923
3080, 4.035937, 24.14265
3204, 4.478907, 25.05379
3400, 3.396094, 25.7068
3598, 3.002344, 26.29675
3721, 2.559375, 26.79107
3846, 2.460938, 27.27851
4042, 1.673438, 27.5937
4171, 1.328906, 27.84578
4359, 0.590625, 27.9446
4490, -0.0984375, 27.89883
4685, -0.8367188, 27.71228
4879, -1.575, 27.37815
5003, -2.165625, 26.92167
5202, -3.100781, 26.27802
5327, -3.986719, 25.44621
5523, -5.266406, 24.35989
5658, -6.398438, 23.03934
5849, -7.973438, 21.40344
5982, -9.05625, 19.55116
6174, -8.71172, 17.81583
6299, -8.957813, 16.01557
6493, -8.121094, 14.41193
6620, -8.859375, 12.6141
6814, -9.696095, 10.65304
6940, -10.33594, 8.561042
7127, -9.00703, 6.792875
7320, -8.268749, 5.158909
7439, -9.302343, 3.259586
7573, -9.597656, 1.327386
7762, -9.302343, -0.5260618
7953, -9.302343, -2.386251
8078, -9.105469, -4.199924
8269, -8.71172, -5.932076
8390, -8.367188, -7.591634
8577, -8.121094, -9.208975
8706, -8.170313, -10.84445
8896, -7.235156, -12.26779
9028, -7.628906, -13.8063
9219, -6.3, -15.03374
9353, -6.595312, -16.36143
9542, -6.890625, -17.74741
9672, -7.235156, -19.20728
9804, -6.841406, -20.56213
9996, -6.053906, -21.75248
10194, -5.5125, -22.84118
10319, -5.463282, -23.93116
10449, -5.5125, -25.03529
10643, -3.986719, -25.79493
10770, -3.54375, -26.4849
10900, -2.953125, -27.0532
11099, -2.313281, -27.49914
11296, -1.476563, -27.77399
11427, -0.984375, -27.95185
11618, -0.2953125, -27.99283
11745, 0.5414063, -27.85272
11935, 1.525781, -27.52115
12132, 2.559375, -26.98304
12256, 3.297656, -26.29439
12383, 4.134375, -25.43456
12574, 5.266406, -24.35151
12770, 5.90625, -23.15341
12906, 6.890625, -21.74017
13098, 7.678125, -20.18345
13234, 7.875, -18.6005
13429, 8.760937, -16.82607
13568, 9.942188, -14.79624
13772, 10.13906, -12.76223
13970, 10.43438, -10.6679
14094, 10.38516, -8.592289
14226, 9.499218, -6.723951
14355, 9.991405, -4.709532
14544, 9.253124, -2.876997
14666, 9.597656, -0.9454107
14857, 9.892969, 1.041167
14986, 9.892969, 3.020218
15175, 8.908594, 4.776966
15300, 8.071875, 6.35838
15486, 7.432032, 7.82694
15613, 7.825781, 9.405632
15800, 7.432032, 10.88249
15928, 7.825781, 12.46167
16121, 6.989062, 13.83932
16250, 6.201563, 15.04972
16442, 8.219532, 16.74289
16568, 5.315625, 17.70055
16761, 7.628906, 19.27998
16887, 7.579687, 20.79727
17079, 6.250781, 22.01441
17204, 5.955469, 23.19233
17395, 3.888281, 23.91751
17515, 4.380468, 24.80944
17708, 3.888281, 25.57542
17834, 3.346875, 26.22405
17959, 3.15, 26.84541
18147, 2.116406, 27.24196
18268, 1.96875, 27.62834
18458, 1.525781, 27.92201
18586, 0.9351563, 28.08665
18774, -0.1476563, 28.02858
18901, -0.6890625, 27.86886
19089, -1.476563, 27.55257
19222, -1.919531, 27.15188
19413, -2.903906, 26.54556
19538, -3.642188, 25.78805
19728, -4.872656, 24.78111
19855, -5.955469, 23.5483
20043, -7.432032, 22.02252
20170, -8.416407, 20.30016
20359, -9.00703, 18.48226
20486, -8.957813, 16.69155
20678, -6.989062, 15.343
20809, -8.022655, 13.70385
21001, -8.859375, 11.90968
21125, -10.18828, 9.820322
21310, -8.71172, 8.113921
21435, -8.859375, 6.338645
21626, -8.465626, 4.655279
21746, -9.548437, 2.703558
21934, -9.84375, 0.7255664
22061, -9.892969, -1.255396
22246, -8.908594, -3.011705
22366, -8.760937, -4.756599
22555, -7.875, -6.308814
22683, -8.022655, -7.917442
22871, -8.170313, -9.555438
22998, -8.465626, -11.25982
23184, -7.235156, -12.67559
23313, -7.628906, -14.21384
23506, -5.955469, -15.36359
23634, -8.317968, -17.11164
23827, -6.595312, -18.39119
23958, -6.792188, -19.75445
24150, -5.758594, -20.88064
24276, -6.152344, -22.12429
24474, -5.561719, -23.22274
24596, -5.561719, -24.33423
24722, -4.774219, -25.25985
24917, -3.839063, -26.00347
25043, -3.396094, -26.66472
25233, -2.805469, -27.2101
25357, -2.510156, -27.70008
25546, -1.427344, -27.95757
25678, -1.033594, -28.14864
25864, -0.2460938, -28.1768
25992, 0.196875, -28.11991
26182, 1.082813, -27.88038
26316, 1.722656, -27.51185
26505, 3.002344, -26.8781
26640, 3.740625, -26.1021
