"Run time, Error, Target angle"
"117, -14.86406, 23.00316"
"247, -13.78125, 20.24691"
"434, -11.56641, 17.99014"
"560, -9.597656, 16.14803"
"757, -3.100781, 15.68859"
"884, -0.6398437, 15.66202"
"1082, 2.165625, 16.16682"
"1210, 4.232813, 17.09361"
"1406, 5.660156, 18.26376"
"1536, 6.201563, 19.52589"
"1728, 6.841406, 20.91113"
"1858, 7.0875, 22.33845"
"2050, 5.11875, 23.31312"
"2173, 4.725, 24.2401"
"2366, 3.691406, 24.95209"
"2495, 3.346875, 25.60725"
"2683, 2.067187, 25.98763"
"2807, 1.279687, 26.21173"
"2994, -0.1476563, 26.14429"
"3118, -0.984375, 25.91317"
"3314, -2.3625, 25.40555"
"3440, -4.183594, 24.49877"
"3631, -6.398438, 23.16091"
"3762, -7.924219, 21.51784"
"3958, -10.2375, 19.41135"
"4080, -11.61563, 17.0316"
"4267, -11.66484, 14.69503"
"4396, -11.76328, 12.3386"
"4581, -12.6, 9.796652"
"4700, -12.94453, 7.192801"
"4886, -12.00937, 4.814421"
"5009, -12.20625, 2.367128"
"5201, -12.35391, -0.1076059"
"5325, -13.3875, -2.824212"
"5514, -11.8125, -5.148113"
"5639, -11.56641, -7.449829"
"5821, -10.72969, -9.573376"
"5948, -10.87734, -11.75299"
"6134, -9.548437, -13.62824"
"6330, -8.6625, -15.33768"
"6461, -8.810156, -17.1037"
"6659, -6.792188, -18.4133"
"6785, -9.253124, -20.35157"
"6917, -8.268749, -21.9747"
"7110, -5.5125, -23.00741"
"7238, -4.872656, -23.95473"
"7431, -2.264062, -24.34123"
"7559, -1.476563, -24.6037"
"7752, 0.3445313, -24.48818"
"7888, 2.116406, -24.00078"
"8081, 4.478907, -23.04368"
"8208, 6.201563, -21.73643"
"8401, 7.973438, -20.09477"
"8597, 10.13906, -18.01203"
"8725, 11.66484, -15.61974"
"8853, 12.00937, -13.20172"
"9053, 12.15703, -10.76614"
"9179, 12.45234, -8.264487"
