Run time, Error, Target angle
190, -13.83047, 23.38297
317, -12.35391, 20.91218
505, -8.022655, 19.41817
634, -5.709375, 18.36651
829, 0.4429688, 18.61097
956, 3.592969, 19.45546
1152, 5.069531, 20.51028
1282, 6.250781, 21.80593
1477, 6.546094, 23.12417
1608, 5.758594, 24.24787
1801, 3.888281, 24.97788
1926, 3.199219, 25.58896
2117, 1.476563, 25.84005
2247, 0.3445313, 25.86506
2437, -2.510156, 25.28953
2570, -4.429688, 24.33084
2760, -8.514843, 22.52176
2884, -10.63125, 20.30957
3074, -12.20625, 17.82487
3199, -13.14141, 15.1591
3386, -13.43672, 12.46261
3508, -14.76563, 9.458186
3812, -14.9625, 6.461208
6020, -15.45469, 3.37027
6148, -14.12578, 0.545114
6336, -10.53281, -1.469771
6461, -5.660156, -2.413075
6647, 2.264062, -1.748242
6763, 5.414063, -0.5258849
6951, 8.613281, 1.284516
7071, 9.991405, 3.342105
7256, 9.794531, 5.298369
7381, 10.48359, 7.420843
7563, 11.17266, 9.674692
9031, 9.942188, 11.66313
9153, 8.268749, 13.31688
9339, 5.167969, 14.27095
9465, 2.116406, 14.57471
9649, -3.051562, 13.82483
9776, -6.053906, 12.49459
9963, -10.38516, 10.3016
10089, -11.8125, 7.878937
10274, -12.84609, 5.280604
10398, -13.28906, 2.60411
10581, -13.87969, -0.1880713
10704, -15.01172, -3.234623
10887, -13.83047, -5.971782
11007, -13.14141, -8.571339
11188, -12.30469, -11.0088
11308, -11.61563, -13.30376
11494, -10.18828, -15.30327
11622, -9.548437, -17.18719
11817, -6.004687, -18.30025
11944, -8.268749, -20.03329
12140, -5.11875, -20.98291
12264, -3.445313, -21.60409
12456, 0.04921875, -21.50462
12583, 2.214844, -20.97613
12777, 5.90625, -19.70012
12905, 8.6625, -17.85991
13096, 11.51719, -15.48081
13230, 12.45234, -12.95316
13416, 13.78125, -10.16113
13542, 14.56875, -7.215858
13728, 14.71641, -4.267477
16035, 15.40547, -1.186383
16158, 13.78125, 1.569867
16343, 8.613281, 3.159299
16464, 4.872656, 3.980576
16649, -1.18125, 3.580284
16769, -4.478907, 2.546522
16954, -9.105469, 0.5998526
17079, -10.63125, -1.591292
17265, -10.92656, -3.78688
17384, -11.86172, -6.196995
17571, -11.51719, -8.493137
17690, -12.00937, -10.91379
17876, -10.18828, -12.90527
17996, -10.63125, -15.04596
18182, -8.416407, -16.67274
18308, -11.36953, -19.05432
18501, -8.810156, -20.75694
18626, -6.644531, -22.00084
18821, -3.888281, -22.70761
18949, -2.116406, -23.06107
19142, 1.230469, -22.72894
19274, 3.396094, -21.96746
19470, 7.185938, -20.43416
19599, 10.13906, -18.29295
19790, 11.96016, -15.85087
19917, 12.99375, -13.21087
20104, 14.42109, -10.28817
20233, 14.76563, -7.320227
20415, 15.70078, -4.154967
22725, 14.9625, -1.162467
22851, 13.23984, 1.485502
23037, 8.465626, 3.055553
23155, 4.429688, 3.773505
23340, -2.165625, 3.163468
23459, -5.315625, 1.964125
23645, -9.302343, -0.004150033
23770, -10.82813, -2.233606
23958, -11.07422, -4.457366
24081, -11.51719, -6.778126
24269, -10.97578, -8.960104
24387, -11.91094, -11.37829
24572, -10.08984, -13.35056
24697, -10.2375, -15.40088
24882, -9.00703, -17.17051
25008, -7.382813, -18.58456
25199, -7.727344, -20.13622
25322, -6.546094, -21.40072
25512, -4.085156, -22.15411
25639, -2.017969, -22.47677
25830, 0.8859375, -22.22337
25958, 3.691406, -21.37823
26156, 7.235156, -19.84104
26291, 9.892969, -17.76447
26483, 11.96016, -15.31685
26608, 13.3875, -12.58235
26796, 14.12578, -9.735931
26919, 14.91328, -6.721916
27104, 15.01172, -3.715728
29431, 14.42109, -0.8315096
29555, 12.45234, 1.658959
29741, 7.038281, 2.927763
29860, 3.691406, 3.524415
30042, -2.805469, 2.787306
30162, -5.266406, 1.626917
30347, -9.450001, -0.375908
30470, -11.22187, -2.694789
30658, -10.77891, -4.842294
30779, -11.46797, -7.162298
30966, -11.12344, -9.379228
31087, -11.91094, -11.79147
31270, -10.2375, -13.7964
31390, -10.48359, -15.90009
31583, -7.973438, -17.4326
31706, -9.942188, -19.49189
31903, -7.825781, -21.00793
32031, -7.432032, -22.4771
32222, -6.250781, -23.69688
32354, -5.266406, -24.71301
32543, -4.282031, -25.54305
32671, -3.54375, -26.22311
32862, -3.346875, -26.88639
32995, -2.805469, -27.4278
33182, -2.214844, -27.85481
33310, -2.214844, -28.29685
33502, -1.919531, -28.67334
