"Run time, Error, Target angle"
"128, -9.351563, 28.4135"
"257, -4.035937, 27.60631"
"382, 0.0984375, 27.78148"
"511, 2.559375, 28.39151"
"636, 1.525781, 28.66367"
"764, -1.624219, 28.22105"
"894, -5.857031, 26.88828"
"1020, -12.64922, 24.09727"
"1153, -15.40547, 20.90367"
"2436, -14.12578, 18.07851"
"2563, -9.105469, 16.25742"
"2689, 2.411719, 17.16646"
"2820, 5.266406, 18.34781"
"2945, 6.447657, 19.68904"
"3074, 6.546094, 21.00491"
"3207, 4.429688, 21.81615"
"3345, 1.378125, 21.98391"
"3475, -6.841406, 20.3115"
"3599, -12.94453, 17.4711"
"4837, -13.78125, 14.71485"
"4963, -9.942188, 12.72641"
"5086, -1.033594, 12.85982"
"5215, 5.463282, 14.21132"
"5340, 7.579687, 15.82163"
"5463, 8.465626, 17.55431"
"5589, 7.0875, 18.92235"
"5720, 5.807813, 20.03504"
"5847, 2.559375, 20.42459"
"5975, -4.626562, 19.22784"
"6097, -11.86172, 16.56051"
"6214, -15.40547, 13.31884"
"7345, -12.6, 10.79884"
"7469, -6.841406, 9.430555"
"7592, 3.396094, 10.50365"
"7718, 8.908594, 12.51452"
"7839, 11.46797, 14.92149"
"8196, 6.841406, 16.22903"
"8322, 4.626562, 17.06741"
"8448, -0.984375, 16.65594"
"8572, -9.05625, 14.5283"
"8690, -13.33828, 11.66916"
"9707, -15.30703, 8.607749"
"9831, -11.61563, 6.284624"
"9953, -0.7875, 6.543726"
"10075, 7.678125, 8.430568"
"10198, 11.17266, 10.82105"
"10786, 9.84375, 12.78075"
"10910, 6.841406, 14.03473"
"11035, -1.230469, 13.47824"
"11158, -10.72969, 10.95076"
"11273, -15.11016, 7.724244"
"12157, -14.86406, 4.750987"
"12279, -10.92656, 2.717138"
"12401, -3.051562, 2.416699"
"12525, 7.235156, 4.27531"
"12645, 11.96016, 6.877568"
"13338, 11.07422, 9.088479"
"13459, 7.185938, 10.37467"
"13578, -0.7875, 9.89621"
"13702, -9.942188, 7.541537"
"13821, -14.56875, 4.422623"
"14715, -12.6, 1.911736"
"14839, -5.758594, 1.017841"
"14959, 4.134375, 2.247321"
"15083, 10.53281, 4.620605"
"15202, 13.97812, 7.569846"
"15775, 12.15703, 9.987683"
"15900, 9.499218, 11.78752"
"16024, 2.067187, 11.91112"
"16145, -7.333593, 10.06497"
"16266, -13.58438, 7.082322"
"17160, -14.81484, 4.110188"
"17280, -11.025, 2.052707"
"17398, -1.673438, 2.098558"
"17521, 7.284375, 3.920568"
"17642, 12.00937, 6.529782"
"18333, 11.36953, 8.801476"
"18458, 7.579687, 10.17368"
"18581, 0.196875, 9.924644"
"18706, -8.760937, 7.818327"
"18824, -14.02734, 4.781431"
"19622, -14.71641, 1.83159"
"19745, -11.51719, -0.3500988"
"19863, -2.165625, -0.4043139"
"19986, 8.514843, 1.729462"
"20106, 13.53516, 4.661213"
"20771, 13.48594, 7.360692"
"20893, 10.63125, 9.378089"
"21013, 4.774219, 10.0973"
"21138, -4.085156, 8.932998"
"21258, -11.76328, 6.256186"
"21374, -15.35625, 3.019198"
"22167, -12.74766, 0.4843044"
"22285, -8.268749, -0.9907266"
"22404, 2.411719, -0.0799247"
"22527, 10.97578, 2.470962"
"22644, 14.81484, 5.608799"
"23323, 12.20625, 8.033089"
"23449, 8.859375, 9.679033"
"23576, 0.2953125, 9.410959"
"23695, -8.71172, 7.293385"
"23812, -14.02734, 4.251323"
