Run time, Error, Target angle
133, -12.6, 23.15708
327, -8.908594, 21.37536
457, -6.841406, 20.082
658, -1.575, 19.89587
786, 1.624219, 20.345
984, 2.411719, 20.85126
1111, 4.725, 21.88338
1308, 3.396094, 22.53356
1434, 4.33125, 23.43299
1626, 3.494531, 24.11229
1757, 1.919531, 24.43798
1947, -0.39375, 24.29847
2084, -1.870313, 23.87014
2276, -5.364843, 22.70807
2406, -7.825781, 21.04859
2596, -11.07422, 18.74747
2723, -11.66484, 16.38773
2910, -12.25547, 13.92031
3033, -13.68281, 11.12826
3217, -14.51953, 8.200381
3336, -14.42109, 5.318537
3454, -14.86406, 2.32829
3635, -15.20859, -0.7232795
5387, -13.14141, -3.351561
5505, -11.8125, -5.714061
5686, -5.5125, -6.649857
5809, -2.264062, -6.96953
5996, 3.15, -6.195243
6121, 6.644531, -4.725224
6307, 11.27109, -2.34659
6431, 12.35391, 0.1727228
6612, 13.09219, 2.81274
6727, 13.97812, 5.645787
6847, 13.14141, 8.243462
6967, 12.79688, 10.78759
7156, 12.10781, 13.19104
7278, 11.71406, 15.5176
7469, 8.022655, 17.02871
7589, 7.973438, 18.61567
7781, 6.792188, 19.94411
7911, 5.758594, 21.05692
8111, 4.035937, 21.8212
8242, 2.707031, 22.31233
8436, -1.279687, 21.95571
8629, -4.971094, 20.86518
8757, -7.776563, 19.20185
8886, -10.63125, 16.96429
9075, -10.08984, 14.95552
9197, -12.10781, 12.45629
9315, -12.84609, 9.852856
9501, -13.78125, 7.071095
9620, -14.175, 4.218988
9800, -14.91328, 1.215968
11666, -13.68281, -1.520594
11790, -12.40313, -4.001219
11976, -5.807813, -4.992763
12094, -1.96875, -5.224661
12277, 3.051562, -4.475426
12398, 6.398438, -3.058464
12580, 10.33594, -0.8818838
12699, 12.15703, 1.628724
12884, 12.74766, 4.19673
13004, 12.74766, 6.747419
13190, 12.00937, 9.130407
13307, 12.94453, 11.75582
13492, 11.66484, 14.0573
13618, 11.36953, 16.31822
13743, 8.810156, 17.98395
13931, 7.038281, 19.34223
14058, 6.447657, 20.60715
14249, 4.725, 21.50787
14380, 4.035937, 22.28753
14575, 1.18125, 22.45238
14706, -1.033594, 22.16247
14902, -5.414063, 20.96903
15030, -7.973438, 19.27374
15225, -11.46797, 16.88967
15352, -11.71406, 14.53251
15536, -12.69844, 11.96645
15659, -13.87969, 9.143808
15842, -14.9625, 6.12101
15963, -15.25781, 3.05623
16143, -15.45469, -0.04050422
17896, -13.48594, -2.737692
18012, -12.15703, -5.169098
18193, -5.364843, -6.061383
18312, -1.96875, -6.310059
18494, 3.002344, -5.572665
18614, 6.004687, -4.245894
18798, 10.53281, -2.01617
18919, 12.15703, 0.4852686
19106, 13.19062, 3.152912
19228, 13.28906, 5.816277
19411, 11.96016, 8.173561
19529, 12.69844, 10.74036
19717, 11.61563, 13.03709
20026, 9.646875, 14.93465
20149, 9.794531, 16.89726
20337, 7.038281, 18.23509
20463, 6.644531, 19.54515
20659, 4.528125, 20.3979
20788, 3.199219, 20.98653
20986, 0.2460938, 20.96172
21115, -1.919531, 20.49445
21306, -6.053906, 19.17697
21432, -9.302343, 17.18891
21621, -12.05859, 14.70169
21750, -12.50156, 12.18096
21937, -14.12578, 9.313099
22057, -14.42109, 6.414795
22240, -14.9625, 3.407532
24266, -14.12578, 0.5823753
24388, -12.64922, -1.947469
24507, -8.613281, -3.509915
24694, -0.7382813, -3.449065
24812, 3.54375, -2.558606
24995, 7.875, -0.8619879
25118, 10.82813, 1.422868
25304, 11.56641, 3.760073
25423, 11.71406, 6.1102
25609, 11.32031, 8.364361
25729, 12.15703, 10.8276
25916, 11.76328, 13.17145
26034, 11.86172, 15.54715
26227, 8.416407, 17.14484
26352, 7.973438, 18.71775
26540, 6.398438, 19.95615
26666, 5.758594, 21.08173
26859, 3.9375, 21.82289
26992, 2.805469, 22.3409
27178, -1.378125, 21.95623
27308, -3.494531, 21.17432
27502, -7.579687, 19.55398
27636, -10.28672, 17.39472
27824, -10.77891, 15.22232
27947, -12.25547, 12.71384
28135, -13.19062, 10.04953
28261, -14.47031, 7.105774
28443, -14.76563, 4.142794
28566, -15.45469, 1.024949
