Run time, Error, Target angle
124, -15.15937, 23.09654
250, -14.86406, 20.12373
434, -14.12578, 17.3177
562, -12.79688, 14.80832
749, -9.302343, 13.03951
879, -8.317968, 11.41688
1069, -5.266406, 10.44232
1189, -3.396094, 9.841084
1381, -0.984375, 9.707936
1499, 0.6398437, 9.903867
1685, 1.624219, 10.25702
1811, 2.017969, 10.67687
2005, 2.657813, 11.225
2132, 3.592969, 11.97922
2325, 3.592969, 12.69922
2451, 4.823438, 13.70992
2641, 5.217188, 14.76509
2770, 3.54375, 15.41343
2955, 5.5125, 16.56445
3086, 3.445313, 17.18139
3271, 6.152344, 18.47869
3400, 6.644531, 19.82961
3590, 5.5125, 20.9044
3713, 5.414063, 21.98177
3908, 3.199219, 22.5671
4035, 2.559375, 23.05186
4230, 2.3625, 23.51844
4358, 1.919531, 23.88571
4541, 2.313281, 24.35799
4663, 2.559375, 24.87984
4849, 2.214844, 25.31434
4975, 2.264062, 25.76849
5161, 2.264062, 26.22136
5284, 2.116406, 26.63901
5473, 2.264062, 27.09534
5596, 2.3625, 27.57181
5788, 1.96875, 27.95588
5916, 1.870313, 28.32575
6108, 1.919531, 28.71072
6231, 1.919531, 29.09469
6426, 1.328906, 29.34599
6552, 0.984375, 29.52915
6740, 0.8859375, 29.70325
6870, 0.590625, 29.8105
7061, 0.4429688, 29.89497
7193, 0.2953125, 29.94852
7388, -0.0, 29.94099
7512, -0.196875, 29.89376
7698, -0.5414063, 29.77628
7821, -0.7875, 29.60874
8012, -1.132031, 29.37332
8136, -1.476563, 29.06441
8331, -1.870313, 28.68007
8463, -2.165625, 28.23581
8651, -2.608594, 27.70233
8783, -2.953125, 27.09882
8971, -3.199219, 26.45214
9104, -3.691406, 25.69614
9294, -4.232813, 24.83512
9420, -4.675781, 23.88257
9609, -5.069531, 22.85802
9736, -5.610937, 21.71515
9931, -5.758594, 20.55896
10058, -6.250781, 19.2903
10251, -5.660156, 18.17216
10380, -5.561719, 17.06422
10503, -4.528125, 16.19863
10692, -4.282031, 15.35009
10821, -4.577344, 14.4243
11016, -4.872656, 13.44209
11143, -5.315625, 12.36222
11339, -5.5125, 11.25422
11468, -5.364843, 10.18628
11654, -5.069531, 9.180235
11777, -5.11875, 8.155094
11896, -4.232813, 7.343612
12086, -4.33125, 6.476291
12213, -4.33125, 5.609977
12395, -5.069531, 4.576737
12521, -5.857031, 3.374789
12712, -5.709375, 2.235403
12836, -6.201563, 0.9765911
12962, -6.103125, -0.2414585
13148, -5.217188, -1.261833
13271, -5.315625, -2.327297
13458, -5.020312, -3.323881
13577, -4.33125, -4.162525
13757, -4.035937, -4.96064
13876, -4.528125, -5.884933
14062, -4.872656, -6.869112
14189, -5.414063, -7.972705
14377, -5.955469, -9.178457
14497, -5.90625, -10.3587
14686, -4.774219, -11.28477
14808, -5.217188, -12.34349
14992, -5.266406, -13.39869
15118, -5.5125, -14.51049
15311, -4.478907, -15.38105
15441, -4.429688, -16.26375
15634, -3.051562, -16.83947
15758, -3.494531, -17.55297
15949, -3.691406, -18.29678
16077, -3.9375, -19.09372
16271, -3.445313, -19.77103
16397, -3.691406, -20.5178
16587, -3.789844, -21.27861
16714, -4.134375, -22.11842
16905, -3.54375, -22.81291
17031, -3.839063, -23.59098
17220, -3.248437, -24.22616
17348, -3.494531, -24.93333
17539, -2.707031, -25.45537
17671, -2.805469, -26.0189
17860, -2.510156, -26.51353
17989, -2.460938, -27.00351
18180, -2.510156, -27.50669
18306, -2.116406, -27.91535
18502, -1.821094, -28.27176
18630, -1.821094, -28.63552
18827, -1.624219, -28.95552
18956, -1.427344, -29.23352
19152, -1.132031, -29.4524
19282, -1.033594, -29.65511
19476, -0.1476563, -29.66255
19602, -0.0, -29.65573
19793, 0.2953125, -29.58897
19923, 0.4921875, -29.48296
20112, 0.7875, -29.31765
20238, 1.033594, -29.10136
20430, 1.427344, -28.80561
20561, 1.722656, -28.44986
20751, 2.214844, -27.99401
20883, 2.608594, -27.4576
21080, 2.953125, -26.85796
21209, 3.100781, -26.23193
21406, 3.15, -25.6005
21539, 3.592969, -24.866
21730, 3.740625, -24.11353
21856, 4.085156, -23.28347
22048, 4.232813, -22.4327
22177, 4.577344, -21.50431
22370, 4.282031, -20.65475
22503, 4.774219, -19.68283
22704, 5.315625, -18.6061
22841, 5.709375, -17.44999
23032, 5.414063, -16.37403
23171, 5.807813, -15.19944
23367, 5.90625, -14.01527
23504, 6.004687, -12.81075
23700, 4.872656, -11.8637
23829, 5.217188, -10.8092
24016, 5.217188, -9.765312
24141, 5.610937, -8.628401
24329, 5.5125, -7.527824
24452, 5.955469, -6.320062
24638, 5.758594, -5.172735
24758, 5.660156, -4.044823
24947, 5.758594, -2.89076
25072, 6.201563, -1.633774
25259, 6.447657, -0.3372147
25385, 6.939844, 1.069543
25566, 5.857031, 2.213088
25691, 5.955469, 3.406201
25878, 5.857031, 4.575152
25998, 4.872656, 5.511066
26185, 4.675781, 6.439597
26309, 5.217188, 7.502998
26501, 5.364843, 8.580476
26629, 5.414063, 9.665362
26819, 5.463282, 10.75935
26946, 5.11875, 11.7705
27139, 4.675781, 12.69408
27259, 6.004687, 13.94583
27453, 2.805469, 14.42972
27578, 4.478907, 15.38425
27768, 4.282031, 16.23805
27896, 4.774219, 17.21084
28079, 4.971094, 18.21096
28204, 5.561719, 19.3457
28393, 4.478907, 20.21476
28516, 4.823438, 21.19098
28706, 3.986719, 21.96776
28835, 4.134375, 22.79886
29026, 2.313281, 23.21615
29147, 2.411719, 23.69951
29339, 2.067187, 24.10433
29463, 2.3625, 24.58742
29648, 2.116406, 25.00473
29770, 2.067187, 25.4159
29959, 2.3625, 25.89581
30082, 2.460938, 26.39221
30272, 2.017969, 26.78484
30397, 2.017969, 27.18777
30586, 1.870313, 27.55804
30715, 1.96875, 27.95516
