Run time, Error, Target angle
131, -13.43672, 17.50014
265, -12.20625, 2.852641
457, 6.546094, 11.17922
581, 14.56875, 28.99413
771, 9.400782, 40.15848
900, -0.2460938, 39.50157
1095, -7.333593, 30.5134
1226, -6.742969, 22.43241
1422, 3.199219, 26.51561
1552, 5.414063, 33.10685
1749, 0.8367188, 34.00343
1876, -2.460938, 30.92179
2075, -4.921875, 24.95083
2209, -5.5125, 18.3114
2400, -0.6890625, 17.60417
2531, 0.196875, 17.87943
2717, -3.592969, 13.47177
2839, -6.496875, 5.55791
3024, -5.364843, -0.8554192
3143, -2.214844, -3.388622
3323, 0.196875, -3.08294
3448, -1.919531, -5.461811
3570, -4.872656, -11.42815
3755, -3.54375, -15.65128
3879, -4.183594, -20.69407
4070, -0.0, -20.5893
4202, -0.7875, -21.55648
4398, -2.411719, -24.49123
4529, -3.15, -28.30012
4727, -0.8859375, -29.3094
4860, 0.6890625, -28.42403
5056, 1.870313, -26.14826
5191, 3.051562, -22.44362
5386, 2.559375, -19.38282
5524, 3.346875, -15.33998
5722, 3.888281, -10.65994
5850, 5.167969, -4.410139
6031, 0.5414063, -3.880843
6159, 2.264062, -1.108073
6342, 6.004687, 6.197825
6465, 7.776563, 15.60401
6653, -0.6890625, 14.56415
6776, -1.427344, 12.81052
6968, 2.559375, 15.98033
7092, 6.004687, 23.32141
7289, 2.75625, 26.55493
7423, 2.854688, 29.97987
7617, 1.082813, 31.23557
7751, 1.132031, 32.59329
7946, 0.6398437, 33.34895
8073, 0.1476563, 33.50704
8262, -0.9351563, 32.35674
8390, -1.427344, 30.62403
8583, -2.707031, 27.34313
8710, -3.740625, 22.81417
8906, -2.559375, 19.77045
9035, -2.313281, 17.00509
9233, -2.116406, 14.47059
9360, -2.657813, 11.26161
9548, -4.085156, 6.322016
9672, -4.478907, 0.9301529
9853, -1.870313, -1.246279
9976, -3.051562, -4.949441
10158, -3.691406, -9.397603
10281, -4.626562, -14.98659
10466, -2.608594, -18.0664
10597, -2.067187, -20.52449
10789, -0.8367188, -21.49705
10924, -1.919531, -23.8366
11121, -1.771875, -25.96064
11254, -2.116406, -28.51243
11451, 0.0984375, -28.341
11581, 1.082813, -27.00287
11781, 2.017969, -24.55734
11918, 2.903906, -21.04056
12119, 2.165625, -18.45818
12251, 3.494531, -14.21786
12442, 5.167969, -7.972585
12572, 5.463282, -1.403423
12760, 0.7875, -0.5778008
12879, 1.919531, 1.762447
13066, 4.282031, 6.963297
13187, 6.3, 14.60539
13378, 2.067187, 16.98344
13504, 0.4921875, 17.50918
13697, 3.15, 21.35274
13828, 4.921875, 27.32688
14023, -0.39375, 26.72609
14150, -0.04921875, 26.67218
14278, 1.18125, 28.13524
14472, 2.559375, 31.24258
14597, 2.953125, 34.8033
14801, -0.9351563, 33.59045
14935, -1.96875, 31.18617
15126, -2.75625, 27.85721
15256, -2.707031, 24.60932
15455, -1.279687, 23.10803
15583, -2.411719, 20.17435
15784, -2.510156, 17.15829
15919, -3.986719, 12.32237
16111, -2.214844, 9.707016
16234, -3.54375, 5.406358
16420, -1.771875, 3.323809
16541, -3.839063, -1.359924
16726, -4.675781, -6.995712
16852, -5.463282, -13.58252
17037, -0.9351563, -14.58804
17162, -1.18125, -16.00781
17351, -3.297656, -20.01882
