Run time, Error, Target angle
122, -14.56875, 23.91476
247, -13.58438, 21.19789
440, -10.68047, 19.13405
567, -8.367188, 17.55124
759, -0.39375, 17.67447
888, 2.067187, 18.19023
1076, 4.725, 19.20684
1206, 5.807813, 20.41209
1336, 6.349218, 21.70392
1462, 6.546094, 23.02185
1656, 5.217188, 24.0329
1781, 4.380468, 24.87559
1973, 3.839063, 25.62853
2098, 3.396094, 26.2902
2289, 2.165625, 26.69154
2417, 0.8859375, 26.82016
2605, -0.590625, 26.66239
2728, -1.870313, 26.23706
2916, -4.380468, 25.2945
3049, -6.250781, 23.97474
3241, -9.745312, 21.93507
3369, -11.025, 19.67809
3555, -12.50156, 17.13758
3680, -12.89531, 14.5413
3867, -12.99375, 11.93931
3986, -13.78125, 9.151842
4171, -13.92891, 6.360974
4292, -13.78125, 3.610177
4476, -14.22422, 0.7540214
4598, -15.06094, -2.2908
4784, -13.63359, -4.981879
4904, -13.23984, -7.612381
5085, -11.96016, -9.969631
5208, -11.91094, -12.34786
5394, -10.2375, -14.35183
5516, -9.991405, -16.33807
5708, -7.579687, -17.79322
5838, -9.302343, -19.71262
6030, -6.595312, -20.96634
6160, -5.709375, -22.07233
6351, -3.100781, -22.62516
6476, -1.771875, -22.92593
6661, 1.378125, -22.56647
6796, 2.805469, -21.95079
6994, 5.709375, -20.73596
7124, 8.514843, -18.9271
7317, 10.72969, -16.72186
7443, 12.00937, -14.26908
7634, 12.79688, -11.68777
7756, 13.73203, -8.904324
7944, 13.3875, -6.23411
8065, 14.37188, -3.322018
8251, 13.97812, -0.5349958
8371, 15.35625, 2.58999
10609, 10.68047, 4.726084
10731, 9.450001, 6.616084
10917, 6.792188, 7.906006
11042, 5.167969, 8.873925
11227, 1.673438, 9.115353
11350, -0.8859375, 8.835564
11538, -5.217188, 7.676857
11668, -7.48125, 6.091901
11857, -10.82813, 3.837728
12052, -12.30469, 1.336942
12176, -13.43672, -1.395358
12300, -13.78125, -4.167374
12485, -11.56641, -6.423617
12675, -11.71406, -8.767874
12865, -11.22187, -10.99988
12990, -11.32031, -13.2669
13183, -10.33594, -15.30983
13376, -8.760937, -17.02207
13503, -7.530469, -18.47987
13700, -7.924219, -20.07244
