Run time, Error, Target angle
194, -11.46797, 22.7814
332, -8.514843, 21.07843
526, -3.888281, 20.41475
657, -0.4921875, 20.44504
856, 2.165625, 20.94733
988, 3.494531, 21.69802
1176, 4.282031, 22.57651
1303, 4.183594, 23.41088
1496, 2.067187, 23.77157
1633, 1.082813, 23.95102
1824, -2.214844, 23.42412
1955, -4.626562, 22.40722
2147, -9.154688, 20.45941
2272, -11.91094, 17.96658
2463, -13.19062, 15.29168
2586, -14.22422, 12.40546
4911, -15.30703, 9.344051
5099, -11.27109, 7.089832
5225, -5.5125, 6.20389
5410, 1.771875, 6.755951
5534, 5.414063, 7.988691
5724, 8.760937, 9.831441
5851, 9.794531, 11.83366
6041, 10.08984, 13.86083
6165, 9.942188, 15.84423
6357, 8.121094, 17.42271
6480, 7.628906, 18.92675
6668, 5.807813, 20.0412
6798, 5.167969, 21.04889
6993, 2.657813, 21.51729
7126, 0.8859375, 21.62852
7315, -3.888281, 20.72637
7441, -7.038281, 19.19467
7628, -11.8125, 16.70401
7757, -13.04297, 14.04343
7946, -13.83047, 11.25524
8065, -15.55313, 8.075388
8244, -15.60234, 4.950633
9987, -13.97812, 2.155008
10111, -12.35391, -0.3157732
10233, -7.924219, -1.731491
10418, 2.116406, -1.041058
10543, 6.004687, 0.3220918
10726, 11.17266, 2.6987
10846, 12.10781, 5.16564
11030, 11.17266, 7.377577
11151, 12.15703, 9.845756
11337, 12.10781, 12.26756
11942, 10.72969, 14.40226
12067, 10.2375, 16.43057
12258, 5.364843, 17.38094
12388, 4.232813, 18.17905
12574, -0.39375, 17.97967
12700, -3.740625, 17.09846
12886, -8.760937, 15.21208
13009, -11.56641, 12.78265
13190, -13.43672, 10.04121
13312, -15.15937, 6.939743
13492, -15.11016, 3.916075
15170, -14.71641, 0.9727934
15354, -11.71406, -1.370019
15474, -8.514843, -2.947977
15657, 1.919531, -2.284184
15778, 6.644531, -0.7563492
15960, 11.07422, 1.583425
16081, 12.50156, 4.147281
16268, 11.8125, 6.494702
16388, 12.05859, 8.9151
16508, 12.64922, 11.46838
17293, 11.36953, 13.73445
17418, 10.68047, 15.84396
17611, 4.478907, 16.58439
17737, 2.657813, 17.03933
17928, -2.116406, 16.49238
18051, -4.872656, 15.40595
18241, -10.72969, 13.1068
18361, -12.64922, 10.49243
18546, -14.27344, 7.592165
18666, -14.76563, 4.616973
18845, -15.20859, 1.562537
20428, -13.83047, -1.203557
20613, -9.84375, -3.172307
20734, -4.675781, -3.908631
20921, 2.854688, -3.135409
21043, 6.595312, -1.661237
21227, 11.71406, 0.821336
21351, 12.89531, 3.453992
21534, 12.64922, 5.979648
21658, 13.3875, 8.68487
21846, 12.6, 11.1858
22571, 11.51719, 13.48165
22761, 9.05625, 15.23075
22890, 6.644531, 16.468
23075, 0.6890625, 16.44771
23199, -1.870313, 15.96714
23388, -7.0875, 14.41289
23512, -10.63125, 12.14303
23694, -12.99375, 9.476076
23819, -14.12578, 6.604267
23999, -14.51953, 3.687977
24122, -15.50391, 0.5485642
