Run time, Error, Target angle
128, -11.56641, 28.68181
257, -7.333593, 27.21509
452, -1.427344, 27.07441
579, 1.082813, 27.39251
768, 1.673438, 27.74639
894, 0.6890625, 27.84887
1083, -2.903906, 27.17497
1217, -6.792188, 25.67436
1405, -12.74766, 22.9671
1530, -15.11016, 19.84679
3115, -15.20859, 16.80507
3312, -10.82813, 14.63944
3440, -2.067187, 14.54585
3632, 4.232813, 15.56267
3762, 6.103125, 16.8609
3952, 7.776563, 18.46183
4264, 6.349218, 19.71051
4389, 4.921875, 20.63994
4576, -0.39375, 20.42262
4705, -4.282031, 19.4173
4895, -12.25547, 16.75777
5014, -14.86406, 13.66916
6479, -12.69844, 11.12947
6608, -8.170313, 9.495411
6799, 4.232813, 10.65368
6922, 8.465626, 12.52735
7645, 9.548437, 14.44642
7838, 6.644531, 15.70381
7969, 1.96875, 15.92397
8159, -8.071875, 14.05032
8282, -12.10781, 11.4576
9740, -12.50156, 8.957289
9863, -9.203907, 7.116508
10052, 3.494531, 8.137778
10178, 8.170313, 9.964081
10365, 10.92656, 12.22833
10968, 11.41875, 14.51714
11096, 9.646875, 16.38165
11287, 2.214844, 16.63525
11414, -3.740625, 15.65532
11601, -11.8125, 13.07744
11719, -14.71641, 10.00528
12992, -13.73203, 7.258875
13183, -5.11875, 6.235125
13306, 0.984375, 6.665019
13434, 6.349218, 8.1458
13624, 10.53281, 10.36594
14457, 10.18828, 12.40262
14650, 5.11875, 13.30082
14773, -1.919531, 12.64056
14896, -8.071875, 10.77256
15079, -13.87969, 7.833982
16256, -13.97812, 5.038358
16377, -11.22187, 2.793983
16561, -0.04921875, 3.076682
16683, 5.11875, 4.317178
16870, 10.92656, 6.660288
16993, 13.43672, 9.452259
17764, 10.53281, 11.54123
17891, 8.71172, 13.21507
18083, 0.2953125, 13.06095
18210, -7.0875, 11.35946
18395, -13.33828, 8.517213
19565, -14.47031, 5.62315
19687, -12.05859, 3.211432
19873, -1.771875, 3.120876
20001, 4.823438, 4.343555
20194, 10.72969, 6.646661
20318, 13.04297, 9.353127
21203, 9.253124, 11.1834
21332, 6.004687, 12.26457
21523, -3.396094, 11.34431
21652, -9.942188, 9.10288
21839, -15.11016, 5.93871
22826, -15.35625, 2.865084
22947, -13.3875, 0.2637703
23131, -2.559375, 0.03562018
23251, 3.494531, 0.9907324
23438, 11.32031, 3.465957
23563, 13.97812, 6.37417
24396, 13.53516, 9.079634
24585, 9.892969, 10.96617
24711, 5.315625, 11.85298
24897, -5.660156, 10.43077
25022, -12.00937, 7.770817
25206, -15.30703, 4.612816
26202, -14.12578, 1.792777
26385, -6.69375, 0.6478244
26511, -1.722656, 0.5018349
26696, 8.71172, 2.522747
26820, 12.15703, 5.101498
27007, 14.175, 7.993971
27714, 13.09219, 10.60548
27904, 8.810156, 12.25852
28027, 4.183594, 12.91336
28211, -6.841406, 11.24883
28336, -11.56641, 8.741585
28520, -15.45469, 5.540754
29498, -14.76563, 2.590237
29688, -10.48359, 0.6017781
29813, -3.691406, 0.125403
30000, 7.382813, 1.895168
30123, 11.51719, 4.375625
30309, 14.91328, 7.453092
31210, 10.43438, 9.516159
31337, 7.628906, 10.9366
31523, -2.510156, 10.17023
31646, -9.597656, 7.961833
31829, -13.97812, 5.039473
