Run time, Error, Target angle
195, -5.315625, 27.84752
329, -1.525781, 26.01658
520, -0.2460938, 25.75343
651, -7.235156, 16.82338
1529, -15.01172, -1.236845
1653, -6.3, -8.471996
2420, 12.20625, 6.298241
2540, 1.771875, 8.024397
3150, -12.25547, -6.800816
3339, 3.396094, -2.332964
4044, 12.35391, 12.55893
4167, 2.3625, 15.01363
4924, -10.43438, 2.404895
5054, 0.6398437, 3.571918
5638, 11.76328, 17.78718
5828, -6.053906, 10.07646
6528, -12.00937, -4.381803
6713, 9.991405, 8.176039
7309, 9.548437, 19.63798
7438, 0.590625, 20.01752
8208, -14.175, 2.909254
8338, -7.432032, -5.772184
9116, 8.170313, 4.133848
9243, -4.085156, -1.219738
9709, -12.89531, -16.79464
9835, -6.595312, -24.48153
10924, 10.87734, -11.42872
11056, 1.279687, -9.893093
11244, -11.32031, -23.79897
11367, -7.48125, -32.64943
11489, 11.61563, -17.9624
12498, 14.07656, -1.070526
12689, -1.18125, -2.488026
13094, -8.810156, -13.15258
13214, 1.328906, -11.16745
14079, 14.51953, 6.335099
14262, -7.727344, -3.513907
14679, -12.69844, -18.82148
14866, 6.496875, -10.53826
15739, 14.175, 6.519767
15858, 5.807813, 13.16263
