Run time, Error, Target angle
185, -14.71641, 22.98566
313, -13.83047, 20.21957
500, -11.66484, 17.94243
622, -9.84375, 16.0466
820, -5.11875, 15.14095
948, -2.3625, 14.77593
1144, 0.2953125, 14.90435
1271, 1.919531, 15.353
1463, 3.986719, 16.20461
1593, 5.020312, 17.24897
1786, 6.053906, 18.48706
1915, 6.349218, 19.76937
2105, 6.546094, 21.08403
2234, 6.890625, 22.47505
2428, 5.90625, 23.63244
2555, 4.675781, 24.5206
2749, 3.248437, 25.1331
2873, 3.15, 25.75712
3065, 2.854688, 26.32044
3193, 2.116406, 26.71592
3383, 1.279687, 26.94972
3508, 0.6398437, 27.05211
3632, -0.0, 27.02651
3821, -1.033594, 26.79238
3947, -1.821094, 26.39714
4136, -3.002344, 25.76559
4261, -4.478907, 24.81242
4453, -6.69375, 23.416
4578, -7.875, 21.79277
4772, -10.04062, 19.72913
4898, -10.92656, 17.50772
5091, -10.53281, 15.40952
5216, -10.48359, 13.31517
5405, -11.17266, 11.06333
5528, -11.66484, 8.710367
5712, -10.82813, 6.565599
5838, -10.97578, 4.366138
6024, -10.97578, 2.170806
6144, -11.56641, -0.1655655
6328, -11.07422, -2.368608
6452, -11.07422, -4.58274
6635, -9.400782, -6.41905
6756, -9.892969, -8.414021
6943, -9.745312, -10.35995
7068, -9.203907, -12.18018
7254, -8.121094, -13.77565
7381, -8.170313, -15.40984
7574, -6.890625, -16.75628
7699, -9.400782, -18.72964
7895, -8.367188, -20.38138
8026, -7.382813, -21.82128
8213, -5.807813, -22.94095
8339, -5.807813, -24.10004
8533, -4.478907, -24.96283
8658, -3.888281, -25.7163
8849, -2.559375, -26.19381
8981, -1.624219, -26.48303
9176, -0.4429688, -26.54128
9305, 0.39375, -26.43022
9494, 1.771875, -26.03937
9620, 2.75625, -25.44921
9747, 4.035937, -24.59268
9944, 5.955469, -23.35261
10070, 7.284375, -21.84322
10260, 7.727344, -20.28452
10397, 9.253124, -18.38054
10595, 10.82813, -16.17462
10725, 11.12344, -13.93681
10922, 11.66484, -11.59019
11053, 11.76328, -9.233208
11244, 11.71406, -6.891465
11368, 11.56641, -4.5838
11555, 11.8125, -2.215187
11676, 11.36953, 0.04205132
11864, 11.025, 2.237535
11985, 11.46797, 4.547716
12172, 9.00703, 6.286685
12297, 9.794531, 8.271469
12415, 9.892969, 10.25556
12601, 8.71172, 11.96752
12723, 9.351563, 13.86059
12915, 7.973438, 15.42173
13041, 7.382813, 16.87443
13357, 8.613281, 18.61555
13658, 7.628906, 20.12592
13853, 7.579687, 21.64003
13982, 6.841406, 22.98126
14176, 4.872656, 23.90623
14307, 3.888281, 24.64562
14496, 2.411719, 25.08894
14619, 1.525781, 25.35789
14804, 0.3445313, 25.3947
14930, -0.3445313, 25.29796
15117, -1.328906, 25.00579
15243, -2.460938, 24.46979
15431, -4.577344, 23.49854
15559, -6.004687, 22.24225
15753, -8.219532, 20.54133
15881, -8.760937, 18.76589
16070, -9.105469, 16.93511
16201, -9.302343, 15.06695
16388, -10.18828, 13.00637
16519, -11.12344, 10.74673
16703, -11.61563, 8.409256
16824, -11.66484, 6.073515
17011, -10.72969, 3.951571
17135, -11.41875, 1.643344
17320, -11.36953, -0.6302967
17443, -11.66484, -2.974524
17629, -9.400782, -4.796478
17749, -9.942188, -6.802316
17933, -9.548437, -8.702468
18059, -9.794531, -10.66999
18245, -8.71172, -12.38478
18369, -9.105469, -14.21913
18559, -7.530469, -15.68577
18685, -7.48125, -17.17785
18882, -5.364843, -18.19902
19011, -8.465626, -20.00154
19202, -7.185938, -21.41094
19326, -7.136719, -22.83472
19515, -6.004687, -24.00692
19644, -5.266406, -25.03137
19770, -3.9375, -25.76793
19967, -2.460938, -26.22194
20100, -1.624219, -26.51495
20294, -0.4429688, -26.57304
20421, 0.4921875, -26.43843
20613, 1.673438, -26.07261
20744, 2.854688, -25.45738
20935, 4.823438, -24.44144
21070, 5.857031, -23.23131
21260, 7.776563, -21.62595
21388, 8.859375, -19.81101
21589, 9.646875, -17.86125
21723, 10.92656, -15.6294
21918, 11.17266, -13.38698
22050, 11.61563, -11.04758
22180, 11.36953, -8.781652
22371, 11.46797, -6.485904
22495, 11.22187, -4.250655
22681, 11.51719, -1.939979
22805, 11.46797, 0.352175
22991, 10.53281, 2.434571
23114, 10.97578, 4.645054
23299, 9.745312, 6.562702
23425, 9.84375, 8.533259
23609, 9.05625, 10.32418
23730, 9.991405, 12.35774
23913, 8.908594, 14.11257
24031, 9.05625, 15.92795
24219, 8.317968, 17.57278
24346, 8.6625, 19.31694
24540, 7.678125, 20.82865
24665, 7.432032, 22.30445
24862, 5.610937, 23.38158
24993, 4.577344, 24.25728
25186, 3.642188, 24.961
25311, 3.051562, 25.54762
25497, 2.3625, 26.00138
25621, 1.870313, 26.35567
25814, 0.2953125, 26.37456
25940, -0.39375, 26.2677
26133, -1.378125, 25.96647
26261, -2.313281, 25.46793
26447, -4.183594, 24.58178
26578, -5.266406, 23.4867
26774, -7.136719, 22.01188
26899, -8.810156, 20.18407
27089, -9.794531, 18.19752
27216, -10.68047, 16.02697
27346, -9.597656, 14.14443
27543, -10.33594, 12.06067
27671, -11.41875, 9.736125
27856, -11.41875, 7.450684
27983, -10.92656, 5.283373
28164, -10.97578, 3.087672
28291, -11.46797, 0.7756755
28476, -10.72969, -1.351985
28600, -11.12344, -3.59049
28789, -9.253124, -5.393953
28912, -9.696095, -7.347113
29100, -9.745312, -9.297997
29223, -9.696095, -11.23545
29412, -8.514843, -12.9082
29533, -9.05625, -14.73843
29724, -7.875, -16.28436
29848, -6.989062, -17.64712
30034, -8.268749, -19.33242
30165, -8.071875, -20.94152
30353, -6.250781, -22.14499
30486, -6.349218, -23.4157
30678, -4.577344, -24.2869
30802, -4.183594, -25.10603
30992, -3.248437, -25.73151
31118, -2.460938, -26.19263
31314, -0.984375, -26.3521
31444, -0.04921875, -26.32615
31639, 1.18125, -26.05803
31768, 2.214844, -25.57576
31960, 4.085156, -24.71015
32088, 5.069531, -23.6572
32277, 6.939844, -22.22017
32412, 7.924219, -20.59817
32609, 8.6625, -18.84622
32739, 10.38516, -16.70609
32939, 11.17266, -14.45021
33073, 11.61563, -12.11028
33269, 11.8125, -9.742301
33396, 11.8125, -7.379478
33588, 11.41875, -5.10561
33716, 11.51719, -2.799131
33906, 11.27109, -0.5510054
34030, 11.76328, 1.819795
34217, 10.58203, 3.906647
34339, 10.72969, 6.056486
34527, 9.105469, 7.836504
34649, 9.745312, 9.807669
34833, 9.105469, 11.61301
37311, 7.776563, 13.16832
37437, 6.989062, 14.56614
37625, 5.660156, 15.66426
37752, 3.592969, 16.30485
37941, 0.4921875, 16.32142
38065, -1.033594, 16.05147
38189, -2.460938, 15.50182
38381, -5.020312, 14.43114
38502, -6.644531, 13.03515
38688, -8.317968, 11.32566
38812, -9.942188, 9.272913
39004, -10.33594, 7.19332
39125, -10.68047, 5.043211
39307, -11.32031, 2.761627
39429, -11.41875, 0.4730539
39612, -10.77891, -1.666175
39737, -11.32031, -3.949754
39922, -9.646875, -5.83679
40041, -9.794531, -7.798882
40223, -9.450001, -9.679948
40348, -9.499218, -11.58111
40539, -8.416407, -13.23723
40667, -8.514843, -14.94223
40861, -7.333593, -16.37978
40989, -7.0875, -17.78652
41179, -8.170313, -19.4475
41307, -8.170313, -21.08314
41502, -6.496875, -22.34135
41630, -6.398438, -23.61501
41826, -5.069531, -24.5961
41952, -4.183594, -25.39781
42142, -2.854688, -25.93377
42275, -2.313281, -26.37525
42463, -0.7382813, -26.48207
42594, -0.04921875, -26.46458
42784, 1.378125, -26.15181
42918, 2.411719, -25.63124
43109, 4.035937, -24.78171
43237, 5.414063, -23.64574
43426, 7.48125, -22.09458
43552, 8.219532, -20.42009
43746, 9.05625, -18.58692
43874, 10.63125, -16.40102
44077, 10.97578, -14.1955
44213, 11.71406, -11.82647
44399, 11.41875, -9.549292
44526, 11.46797, -7.254262
44714, 11.12344, -5.038307
44841, 11.76328, -2.662461
45027, 11.17266, -0.4422033
45149, 11.86172, 1.955777
45331, 10.82813, 4.095407
45518, 9.351563, 5.92679
45642, 9.745312, 7.888424
45824, 9.400782, 9.760038
45947, 10.48359, 11.89758
46256, 9.203907, 13.7192
46566, 9.84375, 15.69756
46878, 9.154688, 17.51797
47070, 8.760937, 19.25994
47194, 8.613281, 20.97634
47387, 6.644531, 22.25626
47514, 6.250781, 23.48881
47708, 3.839063, 24.19622
47834, 2.657813, 24.68046
48021, 1.378125, 24.92133
48144, 0.6398437, 25.01877
48334, -0.39375, 24.91269
48464, -1.230469, 24.63469
48654, -3.002344, 23.98841
48785, -4.528125, 23.02527
48978, -6.644531, 21.64115
49107, -8.268749, 19.92535
49297, -8.416407, 18.23581
49421, -9.105469, 16.38823
49611, -8.71172, 14.65472
49741, -10.2375, 12.55203
49867, -11.22187, 10.26794
50056, -11.91094, 7.866651
50176, -11.36953, 5.612869
50361, -10.77891, 3.473139
50487, -11.27109, 1.201372
50669, -11.12344, -1.020181
50791, -11.61563, -3.36205
50981, -9.696095, -5.253539
51101, -9.794531, -7.21333
51284, -9.203907, -9.038684
51409, -9.84375, -11.03057
51594, -8.514843, -12.70023
51717, -8.908594, -14.49506
51910, -7.530469, -15.96755
52031, -10.33594, -18.14228
52219, -7.875, -19.65915
52345, -7.382813, -21.11389
52534, -6.644531, -22.42317
52663, -6.496875, -23.71601
52855, -4.774219, -24.62752
52984, -4.478907, -25.51
53109, -3.691406, -26.21787
53306, -3.445313, -26.89972
53438, -2.805469, -27.43754
53629, -2.214844, -27.86474
53754, -2.214844, -28.30677
53952, -1.673438, -28.62821
54076, -1.673438, -28.9621
54270, -1.476563, -29.25251
54399, -0.8859375, -29.40785
54594, -0.8859375, -29.58418
54723, -0.8859375, -29.76132
54918, -0.590625, -29.87216
55044, -0.590625, -29.98985
55235, -0.590625, -30.10796
55363, -0.590625, -30.22608
55560, 0.196875, -30.1675
